City;CODIGO;production_value;soy_production;average_yield;number_of_establishments
Cacequi;4302907;64230;59472;2.52;86
Cachoeira do Sul;4303004;322647;329232;2.31202247191011;518
Cacique Doble;4303202;41069;34224;3.72;700
Caibaté;4303301;57370;47808;3.18295605858855;206
Caiçara;4303400;9491;8100;2.7;118
Camaquã;4303509;62972;54600;2.1;163
Camargo;4303558;25173;22140;3.6;329
Cambará do Sul;4303608;972;1215;2.7;7
Campestre da Serra;4303673;29383;23850;3.18;42
Campina das Missões;4303707;20605;16484;2.70052424639581;331
Campinas do Sul;4303806;64656;57050;3.5;307
Campo Novo;4304002;38880;43200;3.6;191
Campos Borges;4304101;38764;29080;3.31396011396011;273
Candelária;4304200;61446;62700;3.3;374
Cândido Godói;4304309;38438;30750;3;623
Candiota;4304358;40542;27028;2.50004624919064;126
Canguçu;4304507;90000;72000;1.8;1033
Canoas;4304606;259;216;2;1
Capão Bonito do Sul;4304622;121500;97200;3.6;176
Capão do Cipó;4304655;228773;183184;2.89618972332016;294
Capão do Leão;4304663;27671;21285;2.58;44
Capela de Santana;4304689;234;180;1.8;0
Capivari do Sul;4304671;10453;9660;2.76;17
Caraá;4304713;39;39;0.975;2
Carazinho;4304705;182619;152712;3.78;274
Carlos Gomes;4304853;13090;11232;3.6;200
Casca;4304903;38309;31980;3.9;419
Caseiros;4304952;34560;28800;3.6;202
Catuípe;4305009;144579;117210;3.32039660056657;641
Caxias do Sul;4305108;630;1050;3;6
Centenário;4305116;24948;20790;3.3;339
Cerrito;4305124;14950;11500;2.09090909090909;54
Cerro Branco;4305132;3557;3630;3.3;21
Cerro Grande;4305157;12820;10560;3.3;63
Cerro Grande do Sul;4305173;412;360;2.4;5
Cerro Largo;4305207;20658;16500;3;261
Chapada;4305306;165201;136080;3.17943925233645;990
Charqueadas;4305355;6728;5750;2.5;9
Charrua;4305371;45622;36036;3.6;403
Chiapetta;4305405;118027;95670;3.69382239382239;313
Chuí;4305439;3205;2763;2.76023976023976;2
Cidreira;4305454;959;780;3;1
Ciríaco;4305504;49739;40625;3.25;355
Colinas;4305587;2248;1950;3.9;62
Colorado;4305603;99876;80545;4.45;391
Condor;4305702;146308;117990;3.97272727272727;438
Constantina;4305801;38011;32736;3.2;534
Coqueiro Baixo;4305835;107;84;3;2
Coqueiros do Sul;4305850;63714;53280;3.6;352
Coronel Barros;4305871;40755;33000;3;329
Coronel Bicaco;4305900;127723;105035;3.00014281633819;546
Cotiporã;4305959;835;706;3.36190476190476;49
Coxilha;4305975;142891;118400;3.7;266
Crissiumal;4306007;23220;25800;2.58;519
Cristal;4306056;16479;14025;1.65;76
Cristal do Sul;4306072;17264;14742;3.00857142857143;177
Cruz Alta;4306106;434700;326160;3.50709677419355;376
Cruzaltense;4306130;31092;26424;3.6;390
Cruzeiro do Sul;4306205;14031;12090;3.1;186
David Canabarro;4306304;31360;28000;4;407
Derrubadas;4306320;25650;28500;3;252
